StimR,ChanR,probability
S_front_middle,G_front_sup,0.1525
S_front_sup,G_front_sup,0.2865
G_front_inf-Orbital,G_front_sup,0.043000000000000003
G_front_inf-Opercular,G_front_sup,0.1305
G_and_S_frontomargin,G_front_sup,0.079
G_orbital,G_front_sup,0.058499999999999996
G_rectus,G_front_sup,0.095
G_subcallosal,G_front_sup,
S_orbital_lateral,G_front_sup,0.0795
S_orbital_med-olfact,G_front_sup,0.097
S_orbital-H_Shaped,G_front_sup,0.07
S_suborbital,G_front_sup,0.148
S_circular_insula_sup,G_front_sup,0.0875
S_circular_insula_ant,G_front_sup,0.11249999999999999
S_circular_insula_inf,G_front_sup,0.035
G_insular_short,G_front_sup,0.0565
G_Ins_lg_and_S_cent_ins,G_front_sup,0.026
S_precentral-sup-part,G_front_sup,0.35050000000000003
S_precentral-inf-part,G_front_sup,0.158
S_postcentral,G_front_sup,0.1625
G_and_S_subcentral,G_front_sup,0.071
S_central,G_front_sup,0.16599999999999998
G_postcentral,G_front_sup,0.1205
G_and_S_paracentral,G_front_sup,0.2475
G_precentral,G_front_sup,0.1785
G_oc-temp_med-Lingual,G_front_sup,0.0
S_oc-temp_med_and_Lingual,G_front_sup,0.0155
S_oc-temp_lat,G_front_sup,0.0
G_oc-temp_lat-fusifor,G_front_sup,0.0
S_collat_transv_post,G_front_sup,
S_collat_transv_ant,G_front_sup,0.03
Pole_temporal,G_front_sup,0.018000000000000002
G_oc-temp_med-Parahip,G_front_sup,0.0165
PosteroHippocampus,G_front_sup,0.0125
Hippocampus,G_front_sup,0.0
AnteroHippocampus,G_front_sup,0.018500000000000003
Amygdala,G_front_sup,0.02
S_temporal_transverse,G_front_sup,0.045
S_temporal_inf,G_front_sup,0.026500000000000003
G_temporal_middle,G_front_sup,0.0295
G_temporal_inf,G_front_sup,0.0185
G_temp_sup-Plan_tempo,G_front_sup,0.07100000000000001
G_temp_sup-Plan_polar,G_front_sup,0.0175
G_temp_sup-Lateral,G_front_sup,0.0305
G_temp_sup-G_T_transv,G_front_sup,0.022
S_temporal_sup,G_front_sup,0.0315
G_and_S_cingul-Ant,G_front_sup,0.189
G_and_S_cingul-Mid-Ant,G_front_sup,0.314
G_and_S_cingul-Mid-Post,G_front_sup,0.392
S_cingul-Marginalis,G_front_sup,0.183
G_cingul-Post-ventral,G_front_sup,0.0
S_pericallosal,G_front_sup,0.276
G_cingul-Post-dorsal,G_front_sup,0.14350000000000002
S_parieto_occipital,G_front_sup,0.0455
S_subparietal,G_front_sup,0.064
S_intrapariet_and_P_trans,G_front_sup,0.0565
G_pariet_inf-Angular,G_front_sup,0.029500000000000002
G_parietal_sup,G_front_sup,0.10800000000000001
G_pariet_inf-Supramar,G_front_sup,0.057
S_interm_prim-Jensen,G_front_sup,0.0055
G_and_S_occipital_inf,G_front_sup,0.0
G_occipital_middle,G_front_sup,0.031
G_occipital_sup,G_front_sup,0.0
Pole_occipital,G_front_sup,
S_calcarine,G_front_sup,0.0
S_oc_middle_and_Lunatus,G_front_sup,
S_oc_sup_and_transversal,G_front_sup,0.0
S_occipital_ant,G_front_sup,0.0
G_front_inf-Triangul,Lat_Fis-ant-Horizont,0.63
G_front_middle,Lat_Fis-ant-Horizont,0.16949999999999998
G_front_sup,Lat_Fis-ant-Horizont,0.0675
Lat_Fis-ant-Horizont,Lat_Fis-ant-Horizont,0.8220000000000001
Lat_Fis-ant-Vertical,Lat_Fis-ant-Horizont,0.795
Lat_Fis-post,Lat_Fis-ant-Horizont,0.268
S_front_inf,Lat_Fis-ant-Horizont,0.3715
S_front_middle,Lat_Fis-ant-Horizont,0.1875
S_front_sup,Lat_Fis-ant-Horizont,0.1015
G_front_inf-Orbital,Lat_Fis-ant-Horizont,0.5795
G_front_inf-Opercular,Lat_Fis-ant-Horizont,0.34750000000000003
G_and_S_frontomargin,Lat_Fis-ant-Horizont,0.0725
G_orbital,Lat_Fis-ant-Horizont,0.41700000000000004
G_rectus,Lat_Fis-ant-Horizont,0.07350000000000001
G_subcallosal,Lat_Fis-ant-Horizont,
S_orbital_lateral,Lat_Fis-ant-Horizont,0.5860000000000001
S_orbital_med-olfact,Lat_Fis-ant-Horizont,0.20900000000000002
S_orbital-H_Shaped,Lat_Fis-ant-Horizont,0.3215
S_suborbital,Lat_Fis-ant-Horizont,0.08
S_circular_insula_sup,Lat_Fis-ant-Horizont,0.39749999999999996
S_circular_insula_ant,Lat_Fis-ant-Horizont,0.8274999999999999
S_circular_insula_inf,Lat_Fis-ant-Horizont,0.131
G_insular_short,Lat_Fis-ant-Horizont,0.3155
G_Ins_lg_and_S_cent_ins,Lat_Fis-ant-Horizont,0.092
S_precentral-sup-part,Lat_Fis-ant-Horizont,0.025500000000000002
S_precentral-inf-part,Lat_Fis-ant-Horizont,0.1875
S_postcentral,Lat_Fis-ant-Horizont,0.0295
G_and_S_subcentral,Lat_Fis-ant-Horizont,0.0695
S_central,Lat_Fis-ant-Horizont,0.0
G_postcentral,Lat_Fis-ant-Horizont,0.0
G_and_S_paracentral,Lat_Fis-ant-Horizont,0.0
G_precentral,Lat_Fis-ant-Horizont,0.0305
G_oc-temp_med-Lingual,Lat_Fis-ant-Horizont,0.0
S_oc-temp_med_and_Lingual,Lat_Fis-ant-Horizont,0.029
S_oc-temp_lat,Lat_Fis-ant-Horizont,0.0
G_oc-temp_lat-fusifor,Lat_Fis-ant-Horizont,0.02
S_collat_transv_post,Lat_Fis-ant-Horizont,
S_collat_transv_ant,Lat_Fis-ant-Horizont,0.057
Pole_temporal,Lat_Fis-ant-Horizont,0.027000000000000003
G_oc-temp_med-Parahip,Lat_Fis-ant-Horizont,0.0495
PosteroHippocampus,Lat_Fis-ant-Horizont,0.032
Hippocampus,Lat_Fis-ant-Horizont,
AnteroHippocampus,Lat_Fis-ant-Horizont,0.027500000000000004
Amygdala,Lat_Fis-ant-Horizont,0.0745
S_temporal_transverse,Lat_Fis-ant-Horizont,0.28
S_temporal_inf,Lat_Fis-ant-Horizont,0.022
G_temporal_middle,Lat_Fis-ant-Horizont,0.044
G_temporal_inf,Lat_Fis-ant-Horizont,0.006
G_temp_sup-Plan_tempo,Lat_Fis-ant-Horizont,0.1025
G_temp_sup-Plan_polar,Lat_Fis-ant-Horizont,0.068
G_temp_sup-Lateral,Lat_Fis-ant-Horizont,0.1315
G_temp_sup-G_T_transv,Lat_Fis-ant-Horizont,0.0415
S_temporal_sup,Lat_Fis-ant-Horizont,0.1015
G_and_S_cingul-Ant,Lat_Fis-ant-Horizont,0.1755
G_and_S_cingul-Mid-Ant,Lat_Fis-ant-Horizont,0.05450000000000001
G_and_S_cingul-Mid-Post,Lat_Fis-ant-Horizont,0.017
S_cingul-Marginalis,Lat_Fis-ant-Horizont,0.0
G_cingul-Post-ventral,Lat_Fis-ant-Horizont,
S_pericallosal,Lat_Fis-ant-Horizont,0.2605
G_cingul-Post-dorsal,Lat_Fis-ant-Horizont,0.0985
S_parieto_occipital,Lat_Fis-ant-Horizont,
S_subparietal,Lat_Fis-ant-Horizont,0.0
S_intrapariet_and_P_trans,Lat_Fis-ant-Horizont,0.0
G_pariet_inf-Angular,Lat_Fis-ant-Horizont,0.045
G_parietal_sup,Lat_Fis-ant-Horizont,
G_pariet_inf-Supramar,Lat_Fis-ant-Horizont,0.063
S_interm_prim-Jensen,Lat_Fis-ant-Horizont,0.0
G_and_S_occipital_inf,Lat_Fis-ant-Horizont,
G_occipital_middle,Lat_Fis-ant-Horizont,
G_occipital_sup,Lat_Fis-ant-Horizont,
Pole_occipital,Lat_Fis-ant-Horizont,
S_calcarine,Lat_Fis-ant-Horizont,
S_oc_middle_and_Lunatus,Lat_Fis-ant-Horizont,
S_oc_sup_and_transversal,Lat_Fis-ant-Horizont,
S_occipital_ant,Lat_Fis-ant-Horizont,
G_front_inf-Triangul,Lat_Fis-ant-Vertical,0.71
G_front_middle,Lat_Fis-ant-Vertical,0.195
G_front_sup,Lat_Fis-ant-Vertical,0.13
Lat_Fis-ant-Horizont,Lat_Fis-ant-Vertical,0.744
Lat_Fis-ant-Vertical,Lat_Fis-ant-Vertical,0.9395
Lat_Fis-post,Lat_Fis-ant-Vertical,0.2575
S_front_inf,Lat_Fis-ant-Vertical,0.527
S_front_middle,Lat_Fis-ant-Vertical,0.21500000000000002
S_front_sup,Lat_Fis-ant-Vertical,0.1395
G_front_inf-Orbital,Lat_Fis-ant-Vertical,0.5295
G_front_inf-Opercular,Lat_Fis-ant-Vertical,0.713
G_and_S_frontomargin,Lat_Fis-ant-Vertical,0.144
G_orbital,Lat_Fis-ant-Vertical,0.22549999999999998
G_rectus,Lat_Fis-ant-Vertical,0.082
G_subcallosal,Lat_Fis-ant-Vertical,
S_orbital_lateral,Lat_Fis-ant-Vertical,0.392
S_orbital_med-olfact,Lat_Fis-ant-Vertical,0.07200000000000001
S_orbital-H_Shaped,Lat_Fis-ant-Vertical,0.2175
S_suborbital,Lat_Fis-ant-Vertical,0.0555
S_circular_insula_sup,Lat_Fis-ant-Vertical,0.5595
S_circular_insula_ant,Lat_Fis-ant-Vertical,0.651
S_circular_insula_inf,Lat_Fis-ant-Vertical,0.1315
G_insular_short,Lat_Fis-ant-Vertical,0.47250000000000003
G_Ins_lg_and_S_cent_ins,Lat_Fis-ant-Vertical,0.0795
S_precentral-sup-part,Lat_Fis-ant-Vertical,0.145
S_precentral-inf-part,Lat_Fis-ant-Vertical,0.47750000000000004
S_postcentral,Lat_Fis-ant-Vertical,0.1265
G_and_S_subcentral,Lat_Fis-ant-Vertical,0.2135
S_central,Lat_Fis-ant-Vertical,0.099
G_postcentral,Lat_Fis-ant-Vertical,0.03
G_and_S_paracentral,Lat_Fis-ant-Vertical,0.0085
G_precentral,Lat_Fis-ant-Vertical,0.1295
G_oc-temp_med-Lingual,Lat_Fis-ant-Vertical,0.028
S_oc-temp_med_and_Lingual,Lat_Fis-ant-Vertical,0.0345
S_oc-temp_lat,Lat_Fis-ant-Vertical,0.028999999999999998
G_oc-temp_lat-fusifor,Lat_Fis-ant-Vertical,0.075
S_collat_transv_post,Lat_Fis-ant-Vertical,
S_collat_transv_ant,Lat_Fis-ant-Vertical,0.058499999999999996
Pole_temporal,Lat_Fis-ant-Vertical,0.017
G_oc-temp_med-Parahip,Lat_Fis-ant-Vertical,0.041499999999999995
PosteroHippocampus,Lat_Fis-ant-Vertical,0.026000000000000002
Hippocampus,Lat_Fis-ant-Vertical,0.0
AnteroHippocampus,Lat_Fis-ant-Vertical,0.0265
Amygdala,Lat_Fis-ant-Vertical,0.082
S_temporal_transverse,Lat_Fis-ant-Vertical,0.3625
S_temporal_inf,Lat_Fis-ant-Vertical,0.046
G_temporal_middle,Lat_Fis-ant-Vertical,0.057999999999999996
G_temporal_inf,Lat_Fis-ant-Vertical,0.0255
G_temp_sup-Plan_tempo,Lat_Fis-ant-Vertical,0.318
G_temp_sup-Plan_polar,Lat_Fis-ant-Vertical,0.089
G_temp_sup-Lateral,Lat_Fis-ant-Vertical,0.147
G_temp_sup-G_T_transv,Lat_Fis-ant-Vertical,0.0925
S_temporal_sup,Lat_Fis-ant-Vertical,0.092
G_and_S_cingul-Ant,Lat_Fis-ant-Vertical,0.13699999999999998
G_and_S_cingul-Mid-Ant,Lat_Fis-ant-Vertical,0.1915
G_and_S_cingul-Mid-Post,Lat_Fis-ant-Vertical,0.026
S_cingul-Marginalis,Lat_Fis-ant-Vertical,0.028
G_cingul-Post-ventral,Lat_Fis-ant-Vertical,
S_pericallosal,Lat_Fis-ant-Vertical,0.14900000000000002
G_cingul-Post-dorsal,Lat_Fis-ant-Vertical,0.0295
S_parieto_occipital,Lat_Fis-ant-Vertical,0.0
S_subparietal,Lat_Fis-ant-Vertical,0.0375
S_intrapariet_and_P_trans,Lat_Fis-ant-Vertical,0.0335
G_pariet_inf-Angular,Lat_Fis-ant-Vertical,0.018
G_parietal_sup,Lat_Fis-ant-Vertical,0.0
G_pariet_inf-Supramar,Lat_Fis-ant-Vertical,0.061
S_interm_prim-Jensen,Lat_Fis-ant-Vertical,
G_and_S_occipital_inf,Lat_Fis-ant-Vertical,0.0
G_occipital_middle,Lat_Fis-ant-Vertical,0.0
G_occipital_sup,Lat_Fis-ant-Vertical,0.083
Pole_occipital,Lat_Fis-ant-Vertical,
S_calcarine,Lat_Fis-ant-Vertical,0.007
S_oc_middle_and_Lunatus,Lat_Fis-ant-Vertical,0.0
S_oc_sup_and_transversal,Lat_Fis-ant-Vertical,0.062
S_occipital_ant,Lat_Fis-ant-Vertical,0.0
G_front_inf-Triangul,Lat_Fis-post,0.0635
G_front_middle,Lat_Fis-post,0.1085
G_front_sup,Lat_Fis-post,0.075
Lat_Fis-ant-Horizont,Lat_Fis-post,0.11399999999999999
Lat_Fis-ant-Vertical,Lat_Fis-post,0.14950000000000002
Lat_Fis-post,Lat_Fis-post,0.7825
S_front_inf,Lat_Fis-post,0.125
S_front_middle,Lat_Fis-post,0.0235
S_front_sup,Lat_Fis-post,0.05
G_front_inf-Orbital,Lat_Fis-post,0.0265
G_front_inf-Opercular,Lat_Fis-post,0.1755
G_and_S_frontomargin,Lat_Fis-post,0.0
G_orbital,Lat_Fis-post,0.0235
G_rectus,Lat_Fis-post,0.0275
G_subcallosal,Lat_Fis-post,
S_orbital_lateral,Lat_Fis-post,0.0385
S_orbital_med-olfact,Lat_Fis-post,0.0295
S_orbital-H_Shaped,Lat_Fis-post,0.026
S_suborbital,Lat_Fis-post,0.0265
S_circular_insula_sup,Lat_Fis-post,0.33599999999999997
S_circular_insula_ant,Lat_Fis-post,0.0835
S_circular_insula_inf,Lat_Fis-post,0.39749999999999996
G_insular_short,Lat_Fis-post,0.1355
G_Ins_lg_and_S_cent_ins,Lat_Fis-post,0.41500000000000004
S_precentral-sup-part,Lat_Fis-post,0.18
S_precentral-inf-part,Lat_Fis-post,0.22549999999999998
S_postcentral,Lat_Fis-post,0.422
G_and_S_subcentral,Lat_Fis-post,0.41800000000000004
S_central,Lat_Fis-post,0.28300000000000003
G_postcentral,Lat_Fis-post,0.2905
G_and_S_paracentral,Lat_Fis-post,0.1855
G_precentral,Lat_Fis-post,0.13
G_oc-temp_med-Lingual,Lat_Fis-post,0.033
S_oc-temp_med_and_Lingual,Lat_Fis-post,0.0605
S_oc-temp_lat,Lat_Fis-post,0.0905
G_oc-temp_lat-fusifor,Lat_Fis-post,0.0605
S_collat_transv_post,Lat_Fis-post,0.1665
S_collat_transv_ant,Lat_Fis-post,0.1065
Pole_temporal,Lat_Fis-post,0.0525
G_oc-temp_med-Parahip,Lat_Fis-post,0.124
PosteroHippocampus,Lat_Fis-post,0.1865
Hippocampus,Lat_Fis-post,0.167
AnteroHippocampus,Lat_Fis-post,0.082
Amygdala,Lat_Fis-post,0.077
S_temporal_transverse,Lat_Fis-post,0.4135
S_temporal_inf,Lat_Fis-post,0.061
G_temporal_middle,Lat_Fis-post,0.0925
G_temporal_inf,Lat_Fis-post,0.08249999999999999
G_temp_sup-Plan_tempo,Lat_Fis-post,0.5329999999999999
G_temp_sup-Plan_polar,Lat_Fis-post,0.07700000000000001
G_temp_sup-Lateral,Lat_Fis-post,0.17049999999999998
G_temp_sup-G_T_transv,Lat_Fis-post,0.5125
S_temporal_sup,Lat_Fis-post,0.1995
G_and_S_cingul-Ant,Lat_Fis-post,0.029
G_and_S_cingul-Mid-Ant,Lat_Fis-post,0.07250000000000001
G_and_S_cingul-Mid-Post,Lat_Fis-post,0.177
S_cingul-Marginalis,Lat_Fis-post,0.308
G_cingul-Post-ventral,Lat_Fis-post,0.11800000000000001
S_pericallosal,Lat_Fis-post,0.1605
G_cingul-Post-dorsal,Lat_Fis-post,0.10500000000000001
S_parieto_occipital,Lat_Fis-post,0.067
S_subparietal,Lat_Fis-post,0.168
S_intrapariet_and_P_trans,Lat_Fis-post,0.1805
G_pariet_inf-Angular,Lat_Fis-post,0.08
G_parietal_sup,Lat_Fis-post,0.11249999999999999
G_pariet_inf-Supramar,Lat_Fis-post,0.4875
S_interm_prim-Jensen,Lat_Fis-post,0.262
G_and_S_occipital_inf,Lat_Fis-post,0.0665
G_occipital_middle,Lat_Fis-post,0.041499999999999995
G_occipital_sup,Lat_Fis-post,0.051
Pole_occipital,Lat_Fis-post,0.0
S_calcarine,Lat_Fis-post,0.0295
S_oc_middle_and_Lunatus,Lat_Fis-post,0.028999999999999998
S_oc_sup_and_transversal,Lat_Fis-post,0.0325
S_occipital_ant,Lat_Fis-post,0.1265
G_front_inf-Triangul,S_front_inf,0.4105
G_front_middle,S_front_inf,0.261
G_front_sup,S_front_inf,0.0905
Lat_Fis-ant-Horizont,S_front_inf,0.40900000000000003
Lat_Fis-ant-Vertical,S_front_inf,0.47950000000000004
Lat_Fis-post,S_front_inf,0.2835
S_front_inf,S_front_inf,0.594
S_front_middle,S_front_inf,0.34099999999999997
S_front_sup,S_front_inf,0.1785
G_front_inf-Orbital,S_front_inf,0.3195
G_front_inf-Opercular,S_front_inf,0.3155
G_and_S_frontomargin,S_front_inf,0.248
G_orbital,S_front_inf,0.21450000000000002
G_rectus,S_front_inf,0.0395
G_subcallosal,S_front_inf,
S_orbital_lateral,S_front_inf,0.375
S_orbital_med-olfact,S_front_inf,0.163
S_orbital-H_Shaped,S_front_inf,0.266
S_suborbital,S_front_inf,0.02
S_circular_insula_sup,S_front_inf,0.3185
S_circular_insula_ant,S_front_inf,0.3125
S_circular_insula_inf,S_front_inf,0.041999999999999996
G_insular_short,S_front_inf,0.21700000000000003
G_Ins_lg_and_S_cent_ins,S_front_inf,0.0635
S_precentral-sup-part,S_front_inf,0.1265
S_precentral-inf-part,S_front_inf,0.3265
S_postcentral,S_front_inf,0.056
G_and_S_subcentral,S_front_inf,0.1
S_central,S_front_inf,0.0465
G_postcentral,S_front_inf,0.0385
G_and_S_paracentral,S_front_inf,0.0
G_precentral,S_front_inf,0.067
G_oc-temp_med-Lingual,S_front_inf,
S_oc-temp_med_and_Lingual,S_front_inf,0.067
S_oc-temp_lat,S_front_inf,0.076
G_oc-temp_lat-fusifor,S_front_inf,0.049
S_collat_transv_post,S_front_inf,
S_collat_transv_ant,S_front_inf,0.048
Pole_temporal,S_front_inf,0.017
G_oc-temp_med-Parahip,S_front_inf,0.043
PosteroHippocampus,S_front_inf,0.044
Hippocampus,S_front_inf,0.0
AnteroHippocampus,S_front_inf,0.019
Amygdala,S_front_inf,0.059
S_temporal_transverse,S_front_inf,0.113
S_temporal_inf,S_front_inf,0.0225
G_temporal_middle,S_front_inf,0.037500000000000006
G_temporal_inf,S_front_inf,0.0505
G_temp_sup-Plan_tempo,S_front_inf,0.1165
G_temp_sup-Plan_polar,S_front_inf,0.031
G_temp_sup-Lateral,S_front_inf,0.0615
G_temp_sup-G_T_transv,S_front_inf,0.1635
S_temporal_sup,S_front_inf,0.0345
G_and_S_cingul-Ant,S_front_inf,0.0975
G_and_S_cingul-Mid-Ant,S_front_inf,0.14200000000000002
G_and_S_cingul-Mid-Post,S_front_inf,0.07
S_cingul-Marginalis,S_front_inf,0.055499999999999994
G_cingul-Post-ventral,S_front_inf,
S_pericallosal,S_front_inf,0.145
G_cingul-Post-dorsal,S_front_inf,0.024
S_parieto_occipital,S_front_inf,0.1665
S_subparietal,S_front_inf,0.0
S_intrapariet_and_P_trans,S_front_inf,0.10200000000000001
G_pariet_inf-Angular,S_front_inf,0.028499999999999998
G_parietal_sup,S_front_inf,0.0
G_pariet_inf-Supramar,S_front_inf,0.138
S_interm_prim-Jensen,S_front_inf,0.0625
G_and_S_occipital_inf,S_front_inf,
G_occipital_middle,S_front_inf,0.0
G_occipital_sup,S_front_inf,
Pole_occipital,S_front_inf,
S_calcarine,S_front_inf,0.0
S_oc_middle_and_Lunatus,S_front_inf,
S_oc_sup_and_transversal,S_front_inf,
