StimR,ChanR,probability
S_front_sup,Pole_temporal,0.0225
G_front_inf-Orbital,Pole_temporal,0.065
G_front_inf-Opercular,Pole_temporal,0.0445
G_and_S_frontomargin,Pole_temporal,0.004
G_orbital,Pole_temporal,0.0825
G_rectus,Pole_temporal,0.0465
G_subcallosal,Pole_temporal,0.184
S_orbital_lateral,Pole_temporal,0.014499999999999999
S_orbital_med-olfact,Pole_temporal,0.0995
S_orbital-H_Shaped,Pole_temporal,0.0645
S_suborbital,Pole_temporal,0.012
S_circular_insula_sup,Pole_temporal,0.109
S_circular_insula_ant,Pole_temporal,0.1595
S_circular_insula_inf,Pole_temporal,0.1035
G_insular_short,Pole_temporal,0.1555
G_Ins_lg_and_S_cent_ins,Pole_temporal,0.1395
S_precentral-sup-part,Pole_temporal,0.0305
S_precentral-inf-part,Pole_temporal,0.0335
S_postcentral,Pole_temporal,0.028499999999999998
G_and_S_subcentral,Pole_temporal,0.0415
S_central,Pole_temporal,0.0195
G_postcentral,Pole_temporal,0.0
G_and_S_paracentral,Pole_temporal,
G_precentral,Pole_temporal,0.0195
G_oc-temp_med-Lingual,Pole_temporal,0.0345
S_oc-temp_med_and_Lingual,Pole_temporal,0.068
S_oc-temp_lat,Pole_temporal,0.0575
G_oc-temp_lat-fusifor,Pole_temporal,0.0475
S_collat_transv_post,Pole_temporal,0.032
S_collat_transv_ant,Pole_temporal,0.161
Pole_temporal,Pole_temporal,0.3205
G_oc-temp_med-Parahip,Pole_temporal,0.225
PosteroHippocampus,Pole_temporal,0.0885
Hippocampus,Pole_temporal,0.056999999999999995
AnteroHippocampus,Pole_temporal,0.11299999999999999
Amygdala,Pole_temporal,0.2245
S_temporal_transverse,Pole_temporal,0.056
S_temporal_inf,Pole_temporal,0.08199999999999999
G_temporal_middle,Pole_temporal,0.1005
G_temporal_inf,Pole_temporal,0.14850000000000002
G_temp_sup-Plan_tempo,Pole_temporal,0.0485
G_temp_sup-Plan_polar,Pole_temporal,0.26
G_temp_sup-Lateral,Pole_temporal,0.098
G_temp_sup-G_T_transv,Pole_temporal,0.07100000000000001
S_temporal_sup,Pole_temporal,0.089
G_and_S_cingul-Ant,Pole_temporal,0.0305
G_and_S_cingul-Mid-Ant,Pole_temporal,0.019999999999999997
G_and_S_cingul-Mid-Post,Pole_temporal,0.022000000000000002
S_cingul-Marginalis,Pole_temporal,0.065
G_cingul-Post-ventral,Pole_temporal,0.1375
S_pericallosal,Pole_temporal,0.064
G_cingul-Post-dorsal,Pole_temporal,0.053000000000000005
S_parieto_occipital,Pole_temporal,0.019
S_subparietal,Pole_temporal,0.0215
S_intrapariet_and_P_trans,Pole_temporal,0.0145
G_pariet_inf-Angular,Pole_temporal,0.053500000000000006
G_parietal_sup,Pole_temporal,0.0
G_pariet_inf-Supramar,Pole_temporal,0.0245
S_interm_prim-Jensen,Pole_temporal,0.0345
G_and_S_occipital_inf,Pole_temporal,0.019000000000000003
G_occipital_middle,Pole_temporal,0.0
G_occipital_sup,Pole_temporal,0.009
Pole_occipital,Pole_temporal,0.020999999999999998
S_calcarine,Pole_temporal,0.037
S_oc_middle_and_Lunatus,Pole_temporal,0.027000000000000003
S_oc_sup_and_transversal,Pole_temporal,0.0
S_occipital_ant,Pole_temporal,0.0055
G_front_inf-Triangul,G_oc-temp_med-Parahip,0.0615
G_front_middle,G_oc-temp_med-Parahip,0.023
G_front_sup,G_oc-temp_med-Parahip,0.024
Lat_Fis-ant-Horizont,G_oc-temp_med-Parahip,0.1925
Lat_Fis-ant-Vertical,G_oc-temp_med-Parahip,0.0665
Lat_Fis-post,G_oc-temp_med-Parahip,0.068
S_front_inf,G_oc-temp_med-Parahip,0.045
S_front_middle,G_oc-temp_med-Parahip,0.022
S_front_sup,G_oc-temp_med-Parahip,0.0125
G_front_inf-Orbital,G_oc-temp_med-Parahip,0.0215
G_front_inf-Opercular,G_oc-temp_med-Parahip,0.052000000000000005
G_and_S_frontomargin,G_oc-temp_med-Parahip,0.0
G_orbital,G_oc-temp_med-Parahip,0.0635
G_rectus,G_oc-temp_med-Parahip,0.034
G_subcallosal,G_oc-temp_med-Parahip,0.692
S_orbital_lateral,G_oc-temp_med-Parahip,0.025
S_orbital_med-olfact,G_oc-temp_med-Parahip,0.064
S_orbital-H_Shaped,G_oc-temp_med-Parahip,0.027
S_suborbital,G_oc-temp_med-Parahip,0.0155
S_circular_insula_sup,G_oc-temp_med-Parahip,0.086
S_circular_insula_ant,G_oc-temp_med-Parahip,0.1115
S_circular_insula_inf,G_oc-temp_med-Parahip,0.0945
G_insular_short,G_oc-temp_med-Parahip,0.1325
G_Ins_lg_and_S_cent_ins,G_oc-temp_med-Parahip,0.221
S_precentral-sup-part,G_oc-temp_med-Parahip,0.009
S_precentral-inf-part,G_oc-temp_med-Parahip,0.031
S_postcentral,G_oc-temp_med-Parahip,0.0405
G_and_S_subcentral,G_oc-temp_med-Parahip,0.0335
S_central,G_oc-temp_med-Parahip,0.077
G_postcentral,G_oc-temp_med-Parahip,0.0335
G_and_S_paracentral,G_oc-temp_med-Parahip,0.0
G_precentral,G_oc-temp_med-Parahip,0.0025
G_oc-temp_med-Lingual,G_oc-temp_med-Parahip,0.0485
S_oc-temp_med_and_Lingual,G_oc-temp_med-Parahip,0.3085
S_oc-temp_lat,G_oc-temp_med-Parahip,0.14
G_oc-temp_lat-fusifor,G_oc-temp_med-Parahip,0.2945
S_collat_transv_post,G_oc-temp_med-Parahip,0.0
S_collat_transv_ant,G_oc-temp_med-Parahip,0.3975
Pole_temporal,G_oc-temp_med-Parahip,0.2665
G_oc-temp_med-Parahip,G_oc-temp_med-Parahip,0.5075000000000001
PosteroHippocampus,G_oc-temp_med-Parahip,0.4315
Hippocampus,G_oc-temp_med-Parahip,0.266
AnteroHippocampus,G_oc-temp_med-Parahip,0.42000000000000004
Amygdala,G_oc-temp_med-Parahip,0.3855
S_temporal_transverse,G_oc-temp_med-Parahip,0.0305
S_temporal_inf,G_oc-temp_med-Parahip,0.14100000000000001
G_temporal_middle,G_oc-temp_med-Parahip,0.11649999999999999
G_temporal_inf,G_oc-temp_med-Parahip,0.1985
G_temp_sup-Plan_tempo,G_oc-temp_med-Parahip,0.0385
G_temp_sup-Plan_polar,G_oc-temp_med-Parahip,0.22699999999999998
G_temp_sup-Lateral,G_oc-temp_med-Parahip,0.068
G_temp_sup-G_T_transv,G_oc-temp_med-Parahip,0.0415
S_temporal_sup,G_oc-temp_med-Parahip,0.0945
G_and_S_cingul-Ant,G_oc-temp_med-Parahip,0.032
G_and_S_cingul-Mid-Ant,G_oc-temp_med-Parahip,0.0315
G_and_S_cingul-Mid-Post,G_oc-temp_med-Parahip,0.121
S_cingul-Marginalis,G_oc-temp_med-Parahip,0.092
G_cingul-Post-ventral,G_oc-temp_med-Parahip,0.4615
S_pericallosal,G_oc-temp_med-Parahip,0.2535
G_cingul-Post-dorsal,G_oc-temp_med-Parahip,0.1315
S_parieto_occipital,G_oc-temp_med-Parahip,0.0695
S_subparietal,G_oc-temp_med-Parahip,0.11699999999999999
S_intrapariet_and_P_trans,G_oc-temp_med-Parahip,0.025500000000000002
G_pariet_inf-Angular,G_oc-temp_med-Parahip,0.0205
G_parietal_sup,G_oc-temp_med-Parahip,0.0
G_pariet_inf-Supramar,G_oc-temp_med-Parahip,0.05
S_interm_prim-Jensen,G_oc-temp_med-Parahip,0.07
G_and_S_occipital_inf,G_oc-temp_med-Parahip,0.015
G_occipital_middle,G_oc-temp_med-Parahip,0.011
G_occipital_sup,G_oc-temp_med-Parahip,0.0
Pole_occipital,G_oc-temp_med-Parahip,0.0
S_calcarine,G_oc-temp_med-Parahip,0.1115
S_oc_middle_and_Lunatus,G_oc-temp_med-Parahip,0.0095
S_oc_sup_and_transversal,G_oc-temp_med-Parahip,0.011
S_occipital_ant,G_oc-temp_med-Parahip,0.053
G_front_inf-Triangul,PosteroHippocampus,0.019
G_front_middle,PosteroHippocampus,0.013
G_front_sup,PosteroHippocampus,0.013
Lat_Fis-ant-Horizont,PosteroHippocampus,0.0235
Lat_Fis-ant-Vertical,PosteroHippocampus,0.0475
Lat_Fis-post,PosteroHippocampus,0.0925
S_front_inf,PosteroHippocampus,0.016
S_front_middle,PosteroHippocampus,0.0015
S_front_sup,PosteroHippocampus,0.01
G_front_inf-Orbital,PosteroHippocampus,0.0
G_front_inf-Opercular,PosteroHippocampus,0.03
G_and_S_frontomargin,PosteroHippocampus,0.0
G_orbital,PosteroHippocampus,0.0315
G_rectus,PosteroHippocampus,0.033
G_subcallosal,PosteroHippocampus,0.125
S_orbital_lateral,PosteroHippocampus,0.0045
S_orbital_med-olfact,PosteroHippocampus,0.0115
S_orbital-H_Shaped,PosteroHippocampus,0.031
S_suborbital,PosteroHippocampus,0.0045
S_circular_insula_sup,PosteroHippocampus,0.07450000000000001
S_circular_insula_ant,PosteroHippocampus,0.057
S_circular_insula_inf,PosteroHippocampus,0.126
G_insular_short,PosteroHippocampus,0.08
G_Ins_lg_and_S_cent_ins,PosteroHippocampus,0.19
S_precentral-sup-part,PosteroHippocampus,0.0035
S_precentral-inf-part,PosteroHippocampus,0.052000000000000005
S_postcentral,PosteroHippocampus,0.0555
G_and_S_subcentral,PosteroHippocampus,0.0445
S_central,PosteroHippocampus,0.0195
G_postcentral,PosteroHippocampus,0.034499999999999996
G_and_S_paracentral,PosteroHippocampus,0.091
G_precentral,PosteroHippocampus,0.026
G_oc-temp_med-Lingual,PosteroHippocampus,0.08299999999999999
S_oc-temp_med_and_Lingual,PosteroHippocampus,0.3425
S_oc-temp_lat,PosteroHippocampus,0.2465
G_oc-temp_lat-fusifor,PosteroHippocampus,0.32399999999999995
S_collat_transv_post,PosteroHippocampus,0.10849999999999999
S_collat_transv_ant,PosteroHippocampus,0.448
Pole_temporal,PosteroHippocampus,0.27049999999999996
G_oc-temp_med-Parahip,PosteroHippocampus,0.5745
PosteroHippocampus,PosteroHippocampus,0.7795000000000001
Hippocampus,PosteroHippocampus,
AnteroHippocampus,PosteroHippocampus,0.594
Amygdala,PosteroHippocampus,0.34550000000000003
S_temporal_transverse,PosteroHippocampus,0.10800000000000001
S_temporal_inf,PosteroHippocampus,0.244
G_temporal_middle,PosteroHippocampus,0.14450000000000002
G_temporal_inf,PosteroHippocampus,0.2405
G_temp_sup-Plan_tempo,PosteroHippocampus,0.095
G_temp_sup-Plan_polar,PosteroHippocampus,0.139
G_temp_sup-Lateral,PosteroHippocampus,0.078
G_temp_sup-G_T_transv,PosteroHippocampus,0.11199999999999999
S_temporal_sup,PosteroHippocampus,0.14700000000000002
G_and_S_cingul-Ant,PosteroHippocampus,0.014499999999999999
G_and_S_cingul-Mid-Ant,PosteroHippocampus,0.05450000000000001
G_and_S_cingul-Mid-Post,PosteroHippocampus,0.1075
S_cingul-Marginalis,PosteroHippocampus,0.068
G_cingul-Post-ventral,PosteroHippocampus,0.4665
S_pericallosal,PosteroHippocampus,0.406
G_cingul-Post-dorsal,PosteroHippocampus,0.2245
S_parieto_occipital,PosteroHippocampus,0.1195
S_subparietal,PosteroHippocampus,0.186
S_intrapariet_and_P_trans,PosteroHippocampus,0.0475
G_pariet_inf-Angular,PosteroHippocampus,0.0175
G_parietal_sup,PosteroHippocampus,0.014
G_pariet_inf-Supramar,PosteroHippocampus,0.0445
S_interm_prim-Jensen,PosteroHippocampus,0.188
G_and_S_occipital_inf,PosteroHippocampus,0.069
G_occipital_middle,PosteroHippocampus,0.027000000000000003
G_occipital_sup,PosteroHippocampus,0.0185
Pole_occipital,PosteroHippocampus,0.0135
S_calcarine,PosteroHippocampus,0.1275
S_oc_middle_and_Lunatus,PosteroHippocampus,0.03
S_oc_sup_and_transversal,PosteroHippocampus,0.024
S_occipital_ant,PosteroHippocampus,0.0535
G_front_inf-Triangul,Hippocampus,0.0
G_front_middle,Hippocampus,0.03
G_front_sup,Hippocampus,0.0
Lat_Fis-ant-Horizont,Hippocampus,
Lat_Fis-ant-Vertical,Hippocampus,0.0
Lat_Fis-post,Hippocampus,
S_front_inf,Hippocampus,0.0
S_front_middle,Hippocampus,0.0
S_front_sup,Hippocampus,0.025
G_front_inf-Orbital,Hippocampus,0.071
G_front_inf-Opercular,Hippocampus,
G_and_S_frontomargin,Hippocampus,
G_orbital,Hippocampus,0.0
G_rectus,Hippocampus,
G_subcallosal,Hippocampus,
S_orbital_lateral,Hippocampus,
S_orbital_med-olfact,Hippocampus,
S_orbital-H_Shaped,Hippocampus,0.0
S_suborbital,Hippocampus,0.0415
S_circular_insula_sup,Hippocampus,0.07100000000000001
S_circular_insula_ant,Hippocampus,0.125
S_circular_insula_inf,Hippocampus,0.0185
G_insular_short,Hippocampus,0.0
G_Ins_lg_and_S_cent_ins,Hippocampus,0.056
S_precentral-sup-part,Hippocampus,0.0
S_precentral-inf-part,Hippocampus,0.0
S_postcentral,Hippocampus,0.0
G_and_S_subcentral,Hippocampus,
S_central,Hippocampus,0.0
G_postcentral,Hippocampus,0.0
G_and_S_paracentral,Hippocampus,
G_precentral,Hippocampus,0.0
G_oc-temp_med-Lingual,Hippocampus,0.028
S_oc-temp_med_and_Lingual,Hippocampus,0.051
S_oc-temp_lat,Hippocampus,0.074
G_oc-temp_lat-fusifor,Hippocampus,0.136
S_collat_transv_post,Hippocampus,
S_collat_transv_ant,Hippocampus,0.101
Pole_temporal,Hippocampus,0.5055000000000001
G_oc-temp_med-Parahip,Hippocampus,0.5595
PosteroHippocampus,Hippocampus,
Hippocampus,Hippocampus,0.44
AnteroHippocampus,Hippocampus,
Amygdala,Hippocampus,0.111
S_temporal_transverse,Hippocampus,
S_temporal_inf,Hippocampus,0.014
G_temporal_middle,Hippocampus,0.109
G_temporal_inf,Hippocampus,0.011
G_temp_sup-Plan_tempo,Hippocampus,0.0
G_temp_sup-Plan_polar,Hippocampus,0.3
G_temp_sup-Lateral,Hippocampus,0.0
G_temp_sup-G_T_transv,Hippocampus,0.0
S_temporal_sup,Hippocampus,0.0975
G_and_S_cingul-Ant,Hippocampus,0.0
G_and_S_cingul-Mid-Ant,Hippocampus,0.032
G_and_S_cingul-Mid-Post,Hippocampus,0.15
S_cingul-Marginalis,Hippocampus,0.056
G_cingul-Post-ventral,Hippocampus,
S_pericallosal,Hippocampus,
G_cingul-Post-dorsal,Hippocampus,0.0
S_parieto_occipital,Hippocampus,
S_subparietal,Hippocampus,
S_intrapariet_and_P_trans,Hippocampus,
G_pariet_inf-Angular,Hippocampus,
G_parietal_sup,Hippocampus,
G_pariet_inf-Supramar,Hippocampus,0.0
S_interm_prim-Jensen,Hippocampus,
G_and_S_occipital_inf,Hippocampus,0.0
G_occipital_middle,Hippocampus,
G_occipital_sup,Hippocampus,0.056
Pole_occipital,Hippocampus,0.0
S_calcarine,Hippocampus,0.0
S_oc_middle_and_Lunatus,Hippocampus,
S_oc_sup_and_transversal,Hippocampus,
S_occipital_ant,Hippocampus,
G_front_inf-Triangul,AnteroHippocampus,0.013000000000000001
G_front_middle,AnteroHippocampus,0.0085
G_front_sup,AnteroHippocampus,0.0165
Lat_Fis-ant-Horizont,AnteroHippocampus,0.015000000000000001
Lat_Fis-ant-Vertical,AnteroHippocampus,0.004
Lat_Fis-post,AnteroHippocampus,0.0325
S_front_inf,AnteroHippocampus,0.0135
S_front_middle,AnteroHippocampus,0.0035
S_front_sup,AnteroHippocampus,0.013500000000000002
G_front_inf-Orbital,AnteroHippocampus,0.0185
G_front_inf-Opercular,AnteroHippocampus,0.025
G_and_S_frontomargin,AnteroHippocampus,0.0
G_orbital,AnteroHippocampus,0.016
G_rectus,AnteroHippocampus,0.035
G_subcallosal,AnteroHippocampus,0.357
S_orbital_lateral,AnteroHippocampus,0.011
S_orbital_med-olfact,AnteroHippocampus,0.0505
S_orbital-H_Shaped,AnteroHippocampus,0.014
S_suborbital,AnteroHippocampus,0.018000000000000002
S_circular_insula_sup,AnteroHippocampus,0.057499999999999996
S_circular_insula_ant,AnteroHippocampus,0.0325
S_circular_insula_inf,AnteroHippocampus,0.0925
G_insular_short,AnteroHippocampus,0.08299999999999999
G_Ins_lg_and_S_cent_ins,AnteroHippocampus,0.14150000000000001
S_precentral-sup-part,AnteroHippocampus,0.0
S_precentral-inf-part,AnteroHippocampus,0.022
S_postcentral,AnteroHippocampus,0.033
G_and_S_subcentral,AnteroHippocampus,0.039
S_central,AnteroHippocampus,0.026
G_postcentral,AnteroHippocampus,0.014499999999999999
G_and_S_paracentral,AnteroHippocampus,0.006
G_precentral,AnteroHippocampus,0.0035
G_oc-temp_med-Lingual,AnteroHippocampus,0.0405
S_oc-temp_med_and_Lingual,AnteroHippocampus,0.16949999999999998
S_oc-temp_lat,AnteroHippocampus,0.082
G_oc-temp_lat-fusifor,AnteroHippocampus,0.159
S_collat_transv_post,AnteroHippocampus,0.068
S_collat_transv_ant,AnteroHippocampus,0.2865
Pole_temporal,AnteroHippocampus,0.1795
G_oc-temp_med-Parahip,AnteroHippocampus,0.5025000000000001
PosteroHippocampus,AnteroHippocampus,0.602
Hippocampus,AnteroHippocampus,
AnteroHippocampus,AnteroHippocampus,0.6625000000000001
Amygdala,AnteroHippocampus,0.3925
S_temporal_transverse,AnteroHippocampus,0.056999999999999995
S_temporal_inf,AnteroHippocampus,0.1075
G_temporal_middle,AnteroHippocampus,0.0885
G_temporal_inf,AnteroHippocampus,0.116
G_temp_sup-Plan_tempo,AnteroHippocampus,0.038
G_temp_sup-Plan_polar,AnteroHippocampus,0.1595
G_temp_sup-Lateral,AnteroHippocampus,0.064
G_temp_sup-G_T_transv,AnteroHippocampus,0.044
S_temporal_sup,AnteroHippocampus,0.07100000000000001
G_and_S_cingul-Ant,AnteroHippocampus,0.015
G_and_S_cingul-Mid-Ant,AnteroHippocampus,0.0145
G_and_S_cingul-Mid-Post,AnteroHippocampus,0.011
S_cingul-Marginalis,AnteroHippocampus,0.058499999999999996
G_cingul-Post-ventral,AnteroHippocampus,0.1975
S_pericallosal,AnteroHippocampus,0.14200000000000002
G_cingul-Post-dorsal,AnteroHippocampus,0.0995
S_parieto_occipital,AnteroHippocampus,0.0305
S_subparietal,AnteroHippocampus,0.065
S_intrapariet_and_P_trans,AnteroHippocampus,0.0115
G_pariet_inf-Angular,AnteroHippocampus,0.0075
G_parietal_sup,AnteroHippocampus,0.0085
G_pariet_inf-Supramar,AnteroHippocampus,0.036500000000000005
S_interm_prim-Jensen,AnteroHippocampus,0.006
G_and_S_occipital_inf,AnteroHippocampus,0.0265
G_occipital_middle,AnteroHippocampus,0.014499999999999999
G_occipital_sup,AnteroHippocampus,0.0
Pole_occipital,AnteroHippocampus,0.0
S_calcarine,AnteroHippocampus,0.037500000000000006
S_oc_middle_and_Lunatus,AnteroHippocampus,0.0035
S_oc_sup_and_transversal,AnteroHippocampus,0.003
S_occipital_ant,AnteroHippocampus,0.027999999999999997
G_front_inf-Triangul,Amygdala,0.036000000000000004
G_front_middle,Amygdala,0.0075
G_front_sup,Amygdala,0.011000000000000001
Lat_Fis-ant-Horizont,Amygdala,0.0815
Lat_Fis-ant-Vertical,Amygdala,0.0925
Lat_Fis-post,Amygdala,0.096
S_front_inf,Amygdala,0.047
S_front_middle,Amygdala,0.014
S_front_sup,Amygdala,0.011000000000000001
G_front_inf-Orbital,Amygdala,0.0615
G_front_inf-Opercular,Amygdala,0.1265
G_and_S_frontomargin,Amygdala,0.0045
G_orbital,Amygdala,0.088
G_rectus,Amygdala,0.138
G_subcallosal,Amygdala,
S_orbital_lateral,Amygdala,0.0175
S_orbital_med-olfact,Amygdala,0.076
S_orbital-H_Shaped,Amygdala,0.05
S_suborbital,Amygdala,0.0175
S_circular_insula_sup,Amygdala,0.215
S_circular_insula_ant,Amygdala,0.211
S_circular_insula_inf,Amygdala,0.20600000000000002
G_insular_short,Amygdala,0.2255
G_Ins_lg_and_S_cent_ins,Amygdala,0.3395
S_precentral-sup-part,Amygdala,0.018000000000000002
S_precentral-inf-part,Amygdala,0.051000000000000004
S_postcentral,Amygdala,0.038
G_and_S_subcentral,Amygdala,0.083
S_central,Amygdala,0.046
G_postcentral,Amygdala,0.0795
G_and_S_paracentral,Amygdala,0.0
G_precentral,Amygdala,0.020999999999999998
G_oc-temp_med-Lingual,Amygdala,0.06
S_oc-temp_med_and_Lingual,Amygdala,0.159
S_oc-temp_lat,Amygdala,0.08199999999999999
G_oc-temp_lat-fusifor,Amygdala,0.138
S_collat_transv_post,Amygdala,0.474
S_collat_transv_ant,Amygdala,0.27
Pole_temporal,Amygdala,0.2595
G_oc-temp_med-Parahip,Amygdala,0.46799999999999997
PosteroHippocampus,Amygdala,0.3855
Hippocampus,Amygdala,0.264
AnteroHippocampus,Amygdala,0.5235000000000001
Amygdala,Amygdala,0.7575000000000001
S_temporal_transverse,Amygdala,0.093
S_temporal_inf,Amygdala,0.0975
G_temporal_middle,Amygdala,0.11549999999999999
G_temporal_inf,Amygdala,0.1195
G_temp_sup-Plan_tempo,Amygdala,0.052500000000000005
G_temp_sup-Plan_polar,Amygdala,0.38649999999999995
G_temp_sup-Lateral,Amygdala,0.1045
G_temp_sup-G_T_transv,Amygdala,0.0895
S_temporal_sup,Amygdala,0.11499999999999999
G_and_S_cingul-Ant,Amygdala,0.041499999999999995
G_and_S_cingul-Mid-Ant,Amygdala,0.036000000000000004
G_and_S_cingul-Mid-Post,Amygdala,0.0
S_cingul-Marginalis,Amygdala,0.0385
G_cingul-Post-ventral,Amygdala,0.07350000000000001
S_pericallosal,Amygdala,0.146
G_cingul-Post-dorsal,Amygdala,0.081
S_parieto_occipital,Amygdala,0.050499999999999996
S_subparietal,Amygdala,0.0505
S_intrapariet_and_P_trans,Amygdala,0.0095
G_pariet_inf-Angular,Amygdala,0.012
G_parietal_sup,Amygdala,0.0
G_pariet_inf-Supramar,Amygdala,0.0495
S_interm_prim-Jensen,Amygdala,0.0095
G_and_S_occipital_inf,Amygdala,0.091
G_occipital_middle,Amygdala,0.0045
G_occipital_sup,Amygdala,0.0
Pole_occipital,Amygdala,0.0045
S_calcarine,Amygdala,0.040999999999999995
S_oc_middle_and_Lunatus,Amygdala,0.0
S_oc_sup_and_transversal,Amygdala,0.014499999999999999
S_occipital_ant,Amygdala,0.088
G_front_inf-Triangul,S_temporal_transverse,0.075
G_front_middle,S_temporal_transverse,0.008
G_front_sup,S_temporal_transverse,0.004
Lat_Fis-ant-Horizont,S_temporal_transverse,0.1085
Lat_Fis-ant-Vertical,S_temporal_transverse,0.0215
Lat_Fis-post,S_temporal_transverse,0.48250000000000004
S_front_inf,S_temporal_transverse,0.0615
S_front_middle,S_temporal_transverse,0.014
S_front_sup,S_temporal_transverse,0.0105
G_front_inf-Orbital,S_temporal_transverse,0.0145
G_front_inf-Opercular,S_temporal_transverse,0.08549999999999999
G_and_S_frontomargin,S_temporal_transverse,0.0
G_orbital,S_temporal_transverse,0.035
G_rectus,S_temporal_transverse,0.0
G_subcallosal,S_temporal_transverse,
S_orbital_lateral,S_temporal_transverse,0.0
S_orbital_med-olfact,S_temporal_transverse,0.0145
S_orbital-H_Shaped,S_temporal_transverse,0.0025
S_suborbital,S_temporal_transverse,0.0
S_circular_insula_sup,S_temporal_transverse,0.1765
S_circular_insula_ant,S_temporal_transverse,0.05
S_circular_insula_inf,S_temporal_transverse,0.575
G_insular_short,S_temporal_transverse,0.08399999999999999
G_Ins_lg_and_S_cent_ins,S_temporal_transverse,0.3165
S_precentral-sup-part,S_temporal_transverse,0.0415
S_precentral-inf-part,S_temporal_transverse,0.14550000000000002
S_postcentral,S_temporal_transverse,0.06999999999999999
G_and_S_subcentral,S_temporal_transverse,0.3705
S_central,S_temporal_transverse,0.065
G_postcentral,S_temporal_transverse,0.077
G_and_S_paracentral,S_temporal_transverse,0.0
G_precentral,S_temporal_transverse,0.054
G_oc-temp_med-Lingual,S_temporal_transverse,0.0095
S_oc-temp_med_and_Lingual,S_temporal_transverse,0.0535
S_oc-temp_lat,S_temporal_transverse,0.0915
G_oc-temp_lat-fusifor,S_temporal_transverse,0.08449999999999999
S_collat_transv_post,S_temporal_transverse,0.0
S_collat_transv_ant,S_temporal_transverse,0.154
Pole_temporal,S_temporal_transverse,0.0395
G_oc-temp_med-Parahip,S_temporal_transverse,0.097
PosteroHippocampus,S_temporal_transverse,0.149
Hippocampus,S_temporal_transverse,
AnteroHippocampus,S_temporal_transverse,0.0805
Amygdala,S_temporal_transverse,0.038000000000000006
S_temporal_transverse,S_temporal_transverse,0.8440000000000001
S_temporal_inf,S_temporal_transverse,0.11549999999999999
G_temporal_middle,S_temporal_transverse,0.128
G_temporal_inf,S_temporal_transverse,0.10400000000000001
G_temp_sup-Plan_tempo,S_temporal_transverse,0.6234999999999999
G_temp_sup-Plan_polar,S_temporal_transverse,0.23349999999999999
G_temp_sup-Lateral,S_temporal_transverse,0.44999999999999996
G_temp_sup-G_T_transv,S_temporal_transverse,0.8455
S_temporal_sup,S_temporal_transverse,0.2805
G_and_S_cingul-Ant,S_temporal_transverse,0.019
G_and_S_cingul-Mid-Ant,S_temporal_transverse,0.0215
G_and_S_cingul-Mid-Post,S_temporal_transverse,0.0135
S_cingul-Marginalis,S_temporal_transverse,0.020499999999999997
G_cingul-Post-ventral,S_temporal_transverse,0.2275
S_pericallosal,S_temporal_transverse,0.126
G_cingul-Post-dorsal,S_temporal_transverse,0.021
S_parieto_occipital,S_temporal_transverse,0.006
S_subparietal,S_temporal_transverse,0.053
S_intrapariet_and_P_trans,S_temporal_transverse,0.035
G_pariet_inf-Angular,S_temporal_transverse,0.0195
G_parietal_sup,S_temporal_transverse,0.024
G_pariet_inf-Supramar,S_temporal_transverse,0.188
S_interm_prim-Jensen,S_temporal_transverse,0.0185
G_and_S_occipital_inf,S_temporal_transverse,0.022
G_occipital_middle,S_temporal_transverse,0.004
G_occipital_sup,S_temporal_transverse,0.0
Pole_occipital,S_temporal_transverse,0.0
S_calcarine,S_temporal_transverse,0.0215
S_oc_middle_and_Lunatus,S_temporal_transverse,0.0185
S_oc_sup_and_transversal,S_temporal_transverse,0.025500000000000002
S_occipital_ant,S_temporal_transverse,0.0185
G_front_inf-Triangul,S_temporal_inf,0.0395
G_front_middle,S_temporal_inf,0.02
G_front_sup,S_temporal_inf,0.01
Lat_Fis-ant-Horizont,S_temporal_inf,0.036
Lat_Fis-ant-Vertical,S_temporal_inf,0.0755
Lat_Fis-post,S_temporal_inf,0.127
S_front_inf,S_temporal_inf,0.059500000000000004
S_front_middle,S_temporal_inf,0.010499999999999999
S_front_sup,S_temporal_inf,0.014
G_front_inf-Orbital,S_temporal_inf,0.0215
G_front_inf-Opercular,S_temporal_inf,0.057
G_and_S_frontomargin,S_temporal_inf,0.0125
G_orbital,S_temporal_inf,0.064
G_rectus,S_temporal_inf,0.05
G_subcallosal,S_temporal_inf,0.214
S_orbital_lateral,S_temporal_inf,0.028
S_orbital_med-olfact,S_temporal_inf,0.0445
S_orbital-H_Shaped,S_temporal_inf,0.07500000000000001
S_suborbital,S_temporal_inf,0.013
S_circular_insula_sup,S_temporal_inf,0.0875
S_circular_insula_ant,S_temporal_inf,0.056499999999999995
S_circular_insula_inf,S_temporal_inf,0.10650000000000001
G_insular_short,S_temporal_inf,0.1155
G_Ins_lg_and_S_cent_ins,S_temporal_inf,0.14300000000000002
S_precentral-sup-part,S_temporal_inf,0.0
S_precentral-inf-part,S_temporal_inf,0.07600000000000001
S_postcentral,S_temporal_inf,0.089
G_and_S_subcentral,S_temporal_inf,0.0625
S_central,S_temporal_inf,0.035
G_postcentral,S_temporal_inf,0.0125
G_and_S_paracentral,S_temporal_inf,0.0
G_precentral,S_temporal_inf,0.0125
G_oc-temp_med-Lingual,S_temporal_inf,0.038
S_oc-temp_med_and_Lingual,S_temporal_inf,0.1525
